source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[age]	characteristics[sex]	characteristics[biological replicate]	characteristics[material type]	characteristics[sample type]	characteristics[enrichment process]	characteristics[crosslink distance]	characteristics[crosslinking reaction time]	characteristics[crosslinking temperature]	assay name	technology type	comment[data file]	comment[file uri]	comment[technical replicate]	comment[fraction identifier]	comment[label]	comment[instrument]	comment[proteomics data acquisition method]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[fractionation method]	comment[chemical cross-linking coupled with ms]	comment[cross-linker]	comment[crosslink enrichment method]	comment[crosslinker concentration]	comment[quenching reagent]	comment[reduction reagent]	comment[alkylation reagent]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	factor value[fraction set]
PXD014675-Sample-2	Homo sapiens	mitochondrion	K-562 cell	chronic myelogenous leukemia	not available	not available	1	not available	not available	strong cation exchange chromatography and size exclusion chromatography	30 A	40 min	25 C	B161129_09_Lumos_PR_IN_200_mito-DSS_17D17_Rep2	proteomic profiling by mass spectrometry	B161129_09_Lumos_PR_IN_200_mito-DSS_17D17_Rep2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/11/PXD014675/B161129_09_Lumos_PR_IN_200_mito-DSS_17D17_Rep2.raw	2	17	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Data-dependent acquisition;AC=PRIDE:0000449	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	HCD and EThcD decision tree	not available	6 ppm	20 ppm	strong cation exchange chromatography and size exclusion chromatography	chemical cross-linking coupled with mass spectrometry proteomics	NT=DSS;AC=XLMOD:02001	strong cation exchange chromatography and size exclusion chromatography	0.225 mM	ammonium bicarbonate	DTT	iodoacetamide	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0	17D
PXD014675-Sample-2	Homo sapiens	mitochondrion	K-562 cell	chronic myelogenous leukemia	not available	not available	1	not available	not available	strong cation exchange chromatography and size exclusion chromatography	30 A	40 min	25 C	B161129_10_Lumos_PR_IN_200_mito-DSS_17D18	proteomic profiling by mass spectrometry	B161129_10_Lumos_PR_IN_200_mito-DSS_17D18.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/11/PXD014675/B161129_10_Lumos_PR_IN_200_mito-DSS_17D18.raw	1	18	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Data-dependent acquisition;AC=PRIDE:0000449	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	HCD and EThcD decision tree	not available	6 ppm	20 ppm	strong cation exchange chromatography and size exclusion chromatography	chemical cross-linking coupled with mass spectrometry proteomics	NT=DSS;AC=XLMOD:02001	strong cation exchange chromatography and size exclusion chromatography	0.225 mM	ammonium bicarbonate	DTT	iodoacetamide	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0	17D
PXD014675-Sample-3	Homo sapiens	mitochondrion	K-562 cell	chronic myelogenous leukemia	not available	not available	1	not available	not available	strong cation exchange chromatography and size exclusion chromatography	30 A	40 min	25 C	B161130_01_Lumos_PR_IN_200_mito-DSS_18D14	proteomic profiling by mass spectrometry	B161130_01_Lumos_PR_IN_200_mito-DSS_18D14.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/11/PXD014675/B161130_01_Lumos_PR_IN_200_mito-DSS_18D14.raw	1	14	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Data-dependent acquisition;AC=PRIDE:0000449	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	HCD and EThcD decision tree	not available	6 ppm	20 ppm	strong cation exchange chromatography and size exclusion chromatography	chemical cross-linking coupled with mass spectrometry proteomics	NT=DSS;AC=XLMOD:02001	strong cation exchange chromatography and size exclusion chromatography	0.225 mM	ammonium bicarbonate	DTT	iodoacetamide	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0	18D
PXD014675-Sample-3	Homo sapiens	mitochondrion	K-562 cell	chronic myelogenous leukemia	not available	not available	1	not available	not available	strong cation exchange chromatography and size exclusion chromatography	30 A	40 min	25 C	B161130_02_Lumos_PR_IN_200_mito-DSS_18D15_Rep1	proteomic profiling by mass spectrometry	B161130_02_Lumos_PR_IN_200_mito-DSS_18D15_Rep1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/11/PXD014675/B161130_02_Lumos_PR_IN_200_mito-DSS_18D15_Rep1.raw	1	15	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Data-dependent acquisition;AC=PRIDE:0000449	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	HCD and EThcD decision tree	not available	6 ppm	20 ppm	strong cation exchange chromatography and size exclusion chromatography	chemical cross-linking coupled with mass spectrometry proteomics	NT=DSS;AC=XLMOD:02001	strong cation exchange chromatography and size exclusion chromatography	0.225 mM	ammonium bicarbonate	DTT	iodoacetamide	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0	18D
PXD014675-Sample-3	Homo sapiens	mitochondrion	K-562 cell	chronic myelogenous leukemia	not available	not available	1	not available	not available	strong cation exchange chromatography and size exclusion chromatography	30 A	40 min	25 C	B161130_03_Lumos_PR_IN_200_mito-DSS_18D15_Rep2	proteomic profiling by mass spectrometry	B161130_03_Lumos_PR_IN_200_mito-DSS_18D15_Rep2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/11/PXD014675/B161130_03_Lumos_PR_IN_200_mito-DSS_18D15_Rep2.raw	2	15	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Data-dependent acquisition;AC=PRIDE:0000449	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	HCD and EThcD decision tree	not available	6 ppm	20 ppm	strong cation exchange chromatography and size exclusion chromatography	chemical cross-linking coupled with mass spectrometry proteomics	NT=DSS;AC=XLMOD:02001	strong cation exchange chromatography and size exclusion chromatography	0.225 mM	ammonium bicarbonate	DTT	iodoacetamide	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0	18D
PXD014675-Sample-3	Homo sapiens	mitochondrion	K-562 cell	chronic myelogenous leukemia	not available	not available	1	not available	not available	strong cation exchange chromatography and size exclusion chromatography	30 A	40 min	25 C	B161130_04_Lumos_PR_IN_200_mito-DSS_18D16_Rep1	proteomic profiling by mass spectrometry	B161130_04_Lumos_PR_IN_200_mito-DSS_18D16_Rep1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/11/PXD014675/B161130_04_Lumos_PR_IN_200_mito-DSS_18D16_Rep1.raw	1	16	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Data-dependent acquisition;AC=PRIDE:0000449	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	HCD and EThcD decision tree	not available	6 ppm	20 ppm	strong cation exchange chromatography and size exclusion chromatography	chemical cross-linking coupled with mass spectrometry proteomics	NT=DSS;AC=XLMOD:02001	strong cation exchange chromatography and size exclusion chromatography	0.225 mM	ammonium bicarbonate	DTT	iodoacetamide	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0	18D
PXD014675-Sample-3	Homo sapiens	mitochondrion	K-562 cell	chronic myelogenous leukemia	not available	not available	1	not available	not available	strong cation exchange chromatography and size exclusion chromatography	30 A	40 min	25 C	B161130_05_Lumos_PR_IN_200_mito-DSS_18D16_Rep2	proteomic profiling by mass spectrometry	B161130_05_Lumos_PR_IN_200_mito-DSS_18D16_Rep2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/11/PXD014675/B161130_05_Lumos_PR_IN_200_mito-DSS_18D16_Rep2.raw	2	16	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Data-dependent acquisition;AC=PRIDE:0000449	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	HCD and EThcD decision tree	not available	6 ppm	20 ppm	strong cation exchange chromatography and size exclusion chromatography	chemical cross-linking coupled with mass spectrometry proteomics	NT=DSS;AC=XLMOD:02001	strong cation exchange chromatography and size exclusion chromatography	0.225 mM	ammonium bicarbonate	DTT	iodoacetamide	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0	18D
PXD014675-Sample-3	Homo sapiens	mitochondrion	K-562 cell	chronic myelogenous leukemia	not available	not available	1	not available	not available	strong cation exchange chromatography and size exclusion chromatography	30 A	40 min	25 C	B161130_05_Lumos_PR_IN_200_mito-DSS_18D18	proteomic profiling by mass spectrometry	B161130_05_Lumos_PR_IN_200_mito-DSS_18D18.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/11/PXD014675/B161130_05_Lumos_PR_IN_200_mito-DSS_18D18.raw	1	18	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Data-dependent acquisition;AC=PRIDE:0000449	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	HCD and EThcD decision tree	not available	6 ppm	20 ppm	strong cation exchange chromatography and size exclusion chromatography	chemical cross-linking coupled with mass spectrometry proteomics	NT=DSS;AC=XLMOD:02001	strong cation exchange chromatography and size exclusion chromatography	0.225 mM	ammonium bicarbonate	DTT	iodoacetamide	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0	18D
PXD014675-Sample-3	Homo sapiens	mitochondrion	K-562 cell	chronic myelogenous leukemia	not available	not available	1	not available	not available	strong cation exchange chromatography and size exclusion chromatography	30 A	40 min	25 C	B161130_06_Lumos_PR_IN_200_mito-DSS_18D17_Rep1	proteomic profiling by mass spectrometry	B161130_06_Lumos_PR_IN_200_mito-DSS_18D17_Rep1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/11/PXD014675/B161130_06_Lumos_PR_IN_200_mito-DSS_18D17_Rep1.raw	1	17	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Data-dependent acquisition;AC=PRIDE:0000449	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	HCD and EThcD decision tree	not available	6 ppm	20 ppm	strong cation exchange chromatography and size exclusion chromatography	chemical cross-linking coupled with mass spectrometry proteomics	NT=DSS;AC=XLMOD:02001	strong cation exchange chromatography and size exclusion chromatography	0.225 mM	ammonium bicarbonate	DTT	iodoacetamide	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0	18D
PXD014675-Sample-3	Homo sapiens	mitochondrion	K-562 cell	chronic myelogenous leukemia	not available	not available	1	not available	not available	strong cation exchange chromatography and size exclusion chromatography	30 A	40 min	25 C	B161130_07_Lumos_PR_IN_200_mito-DSS_18D17_Rep2	proteomic profiling by mass spectrometry	B161130_07_Lumos_PR_IN_200_mito-DSS_18D17_Rep2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/11/PXD014675/B161130_07_Lumos_PR_IN_200_mito-DSS_18D17_Rep2.raw	2	17	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Data-dependent acquisition;AC=PRIDE:0000449	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	HCD and EThcD decision tree	not available	6 ppm	20 ppm	strong cation exchange chromatography and size exclusion chromatography	chemical cross-linking coupled with mass spectrometry proteomics	NT=DSS;AC=XLMOD:02001	strong cation exchange chromatography and size exclusion chromatography	0.225 mM	ammonium bicarbonate	DTT	iodoacetamide	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0	18D
